Favorites,습관,별명,당신이 가장 좋아하는 별명은 무엇인가요?,1
Favorites,습관,음악,내가 좋아하는 음악 함께 듣기,1
Favorites,감정,즐거움의 대상,내게 실없는 농담 하나 던져보기,1
Favorites,감정,즐거움의 대상,내게 지금 떠오르는 웃긴 영상 링크 보내주기,1
Favorites,감정,행복,오늘 하루 가장 행복한 순간에 셀카 찍기,1
Favorites,감정,즐거웠던 경험,내게 이번 달 가장 크게 기뻤던 일 들려주기,1
Favorites,감정,사랑스러움,내게 좋아할 만한 귀여운 동물짤 보내주기,1
Favorites,행동,배움,올해 안에 배우고 싶은 것에 대한 정보 검색해보기,1
Favorites,행동,음식,평생 한 가지 음식만을 먹어야 한다면 어떤 음식을 먹고 싶나요?,1
Favorites,행동,책,내게 좋아하는 장르 신간도서 선물하기,1
Favorites,행동,취미,가장 푹 빠져본 취미활동 경험을 떠올리기,1
Favorites,성격,좋아하는 성격 유형,내게 함께 있으면 편안한 사람에게 성격 유형 물어보기,1
Favorites,인간관계,연인,나와 커플 아이템으로 나누고 싶은 것 3개 적어보기,2
Favorites,습관,유튜브,내게 자주 보는 유튜브 채널 하나 소개하기,2
Favorites,감정,감동,가장 감동 받았던 영화 한 줄 평 들려주기,2
Favorites,감정,아름다움,내게 좋아하는 꽃 선물하기,2
Favorites,감정,아름다움,내게 하늘 사진 찍어서 보내주기,2
Favorites,감정,아름다움,내게 달 사진 찍어 보내주기,2
Favorites,행동,음료,좋아하는 카페 음료 기프티콘 나에게 선물하기,2
Favorites,행동,음악,내게 노래방 애창곡 불러주기,2
Favorites,행동,외출,좋아하는 산책 코스 나와 함께 걷기,2
Favorites,행동,술,좋아하는 술 사서 집에서 마시기,3
Favorites,행동,음식,내게 좋아하는 음식 요리해주기,3
Dislikes,습관,음식,못 먹는 음식이 무엇이고 왜 못 먹게 되었나요?,1
Dislikes,감정,화나는 대상,내게 올해 가장 화났던 일화 들려주기,1
Dislikes,감정,두려움의 대상,내게 무서워 하는 대상 알려주기,1
Dislikes,인간관계,싫어하는 사람,싫어하는 사람의 특징 3개 적어보기,2
Dislikes,인간관계,불편한 사람,살면서 자주 부딪혔던 사람과의 일화 들려주기,2
Dislikes,인간관계,싫어하는 사람,오래 알고 지냈지만 불편한 친구와 약속을 잡게 되면 어떤 감정을 느끼는지 이야기 나눠 보기,3
Dislikes,감정,부끄러움,어릴 때 가장 크게 창피했던 경험은 무엇이었나요?,3
Dislikes,생각,편견,나를 불편하게 하는 사회적 편견에 대해 대화해보기,3
Dislikes,행동,게으름,오랫동안 귀찮아서 미뤄둔 일 생각해내고 당장 시작하도록 돕기,4
Dislikes,성격,자기혐오,내 성격의 모난 점을 떠올리며 “그 모습까지 사랑해” 라고 말해주기,4
Strengths,인간관계,좋은 의사소통,내게 진심을 담아 멋진 오늘 하루를 응원하는 문자보내기,1
Strengths,습관,좋은 습관,내가 가진 습관 중 가장 멋진 습관 자랑하기,1
Strengths,생각,아이디어,최근에 내가 냈던 가장 창의적인 아이디어 공유하기,1
Strengths,행동,노래,내게 가장 잘 부르는 노래 불러주기,1
Strengths,행동,나의 시간대,"에너지가 넘치는 시간대는 아침, 낮, 저녁 중에 언제인가요?",1
Strengths,성격,자존감,거울 앞에서 나의 성격 중 멋있는 점 3개 칭찬해보기,1
Strengths,인간관계,다가가기,친해지고 싶은 사람에게 다가가는 나만의 방법 공유하기,2
Strengths,감정,감정조절,감정을 평온하고 유지할 수 있는 상황의 조건 3가지 기록하기,2
Strengths,행동,최고의 착장,가장 잘 어울리는 옷으로 나를 코디해주기,2
Strengths,행동,칭찬,자신있는 신체 부위 칭찬하기,2
Strengths,감정,솔직함,오늘 하루 내가 드러낼 수 있는 한 가장 솔직한 감정표현 한 번 시도해보기,3
Strengths,행동,개인기,내게 숨겨둔 개인기 보여주기,3
Weaknesses,습관,나쁜 습관,고치고 싶은 나쁜 습관이 무엇인가요?,2
Weaknesses,감정,우울함,당장 기분 좋아지려면 어떤 행동을 해야 할까요?,2
Weaknesses,감정,완벽주의,완벽하지 않아도 괜찮다고 위로해주기,2
Weaknesses,감정,좌절감,실패했던 경험에서 느껴졌던 감정 3개 적어보기,2
Weaknesses,행동,스트레스,스트레스 많이 받을 때 해소법이 무엇인가요?,2
Weaknesses,성격,성격 개선점,나의 성격에서 개선할 수 있는 면은 무엇인가요?,2
Weaknesses,생각,나쁜 생각의 흐름,쉽게 빠지는 나쁜 생각의 흐름을 기록해보기,3
Weaknesses,인간관계,가족관계,가족 관계에서 걱정 되는 고민 솔직하게 글로 써서 털어놓기,4
Weaknesses,행동,성장과정,성장과정의 한 부분을 바꿀 수 있다면 어떻게 바꾸고 싶은가요?,4
ComfortZone,행동,나와 친해지기,내 이름 세 번 부르기,1
ComfortZone,행동,나와 친해지기,거울에 윙크하기,1
ComfortZone,습관,애착 물건,내게 가장 애착을 갖고 있는 물건 사진 보여주기,1
ComfortZone,행동,나와 친해지기,아침에 처음 거울로 눈 마주치고 웃기,1
ComfortZone,행동,나와 친해지기,내게 소리내어 인사하기,1
ComfortZone,감정,일상의 감정,오늘 느낀 감정 그림으로 그리기,2
